model,scenario,experiment_part,year,tas_anomaly_K
gfdl-esm4,ssp126,historical,1850,-0.09540195031144094
gfdl-esm4,ssp126,historical,1851,-0.15172355667993997
gfdl-esm4,ssp126,historical,1852,0.026972898775966314
gfdl-esm4,ssp126,historical,1853,0.06089413246644426
gfdl-esm4,ssp126,historical,1854,-0.11384702924544854
gfdl-esm4,ssp126,historical,1855,-0.17538690822743774
gfdl-esm4,ssp126,historical,1856,0.00011683047335964147
gfdl-esm4,ssp126,historical,1857,0.05860220460300525
gfdl-esm4,ssp126,historical,1858,-0.07827714091416738
gfdl-esm4,ssp126,historical,1859,-0.03135307758299177
gfdl-esm4,ssp126,historical,1860,-0.1025607339539647
gfdl-esm4,ssp126,historical,1861,-0.17997923408222505
gfdl-esm4,ssp126,historical,1862,-0.1577213081174591
gfdl-esm4,ssp126,historical,1863,-0.14116317258833533
gfdl-esm4,ssp126,historical,1864,-0.013448450612258966
gfdl-esm4,ssp126,historical,1865,0.05535286211130597
gfdl-esm4,ssp126,historical,1866,0.04429862507976168
gfdl-esm4,ssp126,historical,1867,0.02296293923166104
gfdl-esm4,ssp126,historical,1868,-0.044861944127148945
gfdl-esm4,ssp126,historical,1869,-0.0033918583136482994
gfdl-esm4,ssp126,historical,1870,0.006491026531421085
gfdl-esm4,ssp126,historical,1871,0.0003289035025204612
gfdl-esm4,ssp126,historical,1872,0.0479720083446864
gfdl-esm4,ssp126,historical,1873,-0.030360744023766983
gfdl-esm4,ssp126,historical,1874,0.05956488576441643
gfdl-esm4,ssp126,historical,1875,0.05623718737018635
gfdl-esm4,ssp126,historical,1876,-0.03401285670042853
gfdl-esm4,ssp126,historical,1877,-0.020400248613782423
gfdl-esm4,ssp126,historical,1878,-0.01679614716431388
gfdl-esm4,ssp126,historical,1879,0.1317935805178081
gfdl-esm4,ssp126,historical,1880,-0.011607662255812556
gfdl-esm4,ssp126,historical,1881,-0.0353486562157741
gfdl-esm4,ssp126,historical,1882,-0.10626684645734485
gfdl-esm4,ssp126,historical,1883,-0.01255683815526254
gfdl-esm4,ssp126,historical,1884,-0.3497888426840632
gfdl-esm4,ssp126,historical,1885,-0.2858373580020839
gfdl-esm4,ssp126,historical,1886,-0.17439178353572515
gfdl-esm4,ssp126,historical,1887,-0.12819607452593118
gfdl-esm4,ssp126,historical,1888,0.05914200438036232
gfdl-esm4,ssp126,historical,1889,0.1338211612210216
gfdl-esm4,ssp126,historical,1890,0.05027429809462092
gfdl-esm4,ssp126,historical,1891,0.058991491717847566
gfdl-esm4,ssp126,historical,1892,0.05141656826805274
gfdl-esm4,ssp126,historical,1893,0.11702789052469598
gfdl-esm4,ssp126,historical,1894,0.12949053723247061
gfdl-esm4,ssp126,historical,1895,0.16292262955846581
gfdl-esm4,ssp126,historical,1896,0.21267835320276163
gfdl-esm4,ssp126,historical,1897,0.20090186029989354
gfdl-esm4,ssp126,historical,1898,0.14584957816856559
gfdl-esm4,ssp126,historical,1899,0.2802690139496917
gfdl-esm4,ssp126,historical,1900,0.3203069517000472
gfdl-esm4,ssp126,historical,1901,0.13632091111975342
gfdl-esm4,ssp126,historical,1902,0.09872895444306096
gfdl-esm4,ssp126,historical,1903,-0.015979074907761515
gfdl-esm4,ssp126,historical,1904,0.2343684505410124
gfdl-esm4,ssp126,historical,1905,0.22688547418903227
gfdl-esm4,ssp126,historical,1906,0.1636997241130871
gfdl-esm4,ssp126,historical,1907,0.17941172531658367
gfdl-esm4,ssp126,historical,1908,0.18755427405972114
gfdl-esm4,ssp126,historical,1909,0.32836576500648107
gfdl-esm4,ssp126,historical,1910,0.3469983135768189
gfdl-esm4,ssp126,historical,1911,0.3437745628497737
gfdl-esm4,ssp126,historical,1912,0.006565609344988843
gfdl-esm4,ssp126,historical,1913,-0.04865329588687928
gfdl-esm4,ssp126,historical,1914,0.19650011046138616
gfdl-esm4,ssp126,historical,1915,0.2539140918895555
gfdl-esm4,ssp126,historical,1916,0.22901240296471315
gfdl-esm4,ssp126,historical,1917,0.18909485075874954
gfdl-esm4,ssp126,historical,1918,0.2479875195952559
gfdl-esm4,ssp126,historical,1919,0.34515158404144586
gfdl-esm4,ssp126,historical,1920,0.3668819970180266
gfdl-esm4,ssp126,historical,1921,0.1893839966236328
gfdl-esm4,ssp126,historical,1922,0.24080993605207368
gfdl-esm4,ssp126,historical,1923,0.3197135902854029
gfdl-esm4,ssp126,historical,1924,0.24111421549378065
gfdl-esm4,ssp126,historical,1925,0.20899444691968938
gfdl-esm4,ssp126,historical,1926,0.15439139254851852
gfdl-esm4,ssp126,historical,1927,0.29247587602054637
gfdl-esm4,ssp126,historical,1928,0.3806651719784213
gfdl-esm4,ssp126,historical,1929,0.3035683921282839
gfdl-esm4,ssp126,historical,1930,0.2551871877484473
gfdl-esm4,ssp126,historical,1931,0.3206068229085304
gfdl-esm4,ssp126,historical,1932,0.3682248183400816
gfdl-esm4,ssp126,historical,1933,0.34317393986088973
gfdl-esm4,ssp126,historical,1934,0.23827458944276714
gfdl-esm4,ssp126,historical,1935,0.2359773481231855
gfdl-esm4,ssp126,historical,1936,0.17482980443804763
gfdl-esm4,ssp126,historical,1937,0.13672746153531534
gfdl-esm4,ssp126,historical,1938,0.23606039792150568
gfdl-esm4,ssp126,historical,1939,0.267321728356535
gfdl-esm4,ssp126,historical,1940,0.28639265978841877
gfdl-esm4,ssp126,historical,1941,0.12187683399633897
gfdl-esm4,ssp126,historical,1942,0.11699625236582278
gfdl-esm4,ssp126,historical,1943,0.22185375881207392
gfdl-esm4,ssp126,historical,1944,0.15788036489283286
gfdl-esm4,ssp126,historical,1945,-0.02412557127161108
gfdl-esm4,ssp126,historical,1946,0.043669036663402494
gfdl-esm4,ssp126,historical,1947,0.21614286920527093
gfdl-esm4,ssp126,historical,1948,0.13136059764468655
gfdl-esm4,ssp126,historical,1949,0.09402664694266605
gfdl-esm4,ssp126,historical,1950,0.159386813474498
gfdl-esm4,ssp126,historical,1951,0.09396750353499783
gfdl-esm4,ssp126,historical,1952,0.10916190936626435
gfdl-esm4,ssp126,historical,1953,0.20371578858060957
gfdl-esm4,ssp126,historical,1954,0.22608655650327592
gfdl-esm4,ssp126,historical,1955,0.17681486277717795
gfdl-esm4,ssp126,historical,1956,0.10991958171803162
gfdl-esm4,ssp126,historical,1957,0.1508845658453879
gfdl-esm4,ssp126,historical,1958,0.2513844739758042
gfdl-esm4,ssp126,historical,1959,0.3107355924541366
gfdl-esm4,ssp126,historical,1960,0.1968869148495287
gfdl-esm4,ssp126,historical,1961,0.13880190748517407
gfdl-esm4,ssp126,historical,1962,0.16558955969713907
gfdl-esm4,ssp126,historical,1963,0.03736473575969512
gfdl-esm4,ssp126,historical,1964,-0.21669636242654633
gfdl-esm4,ssp126,historical,1965,-0.13036898789920315
gfdl-esm4,ssp126,historical,1966,0.06641778214373062
gfdl-esm4,ssp126,historical,1967,0.1230101755782016
gfdl-esm4,ssp126,historical,1968,0.12219757294013789
gfdl-esm4,ssp126,historical,1969,0.11194433284879324
gfdl-esm4,ssp126,historical,1970,0.04877028888898849
