model,scenario,experiment_part,year,tas_anomaly_K
mpi-esm1-2-hr,ssp370,historical,1850,0.00964731166391175
mpi-esm1-2-hr,ssp370,historical,1851,0.025607919892706832
mpi-esm1-2-hr,ssp370,historical,1852,0.1991556428102399
mpi-esm1-2-hr,ssp370,historical,1853,0.3015834651315572
mpi-esm1-2-hr,ssp370,historical,1854,0.009755353322304927
mpi-esm1-2-hr,ssp370,historical,1855,-0.017018538278364304
mpi-esm1-2-hr,ssp370,historical,1856,-0.02401666953238646
mpi-esm1-2-hr,ssp370,historical,1857,-0.01607756030358587
mpi-esm1-2-hr,ssp370,historical,1858,0.00397918605040104
mpi-esm1-2-hr,ssp370,historical,1859,-0.11257093842999666
mpi-esm1-2-hr,ssp370,historical,1860,-0.20526685876387774
mpi-esm1-2-hr,ssp370,historical,1861,-0.10792801989089185
mpi-esm1-2-hr,ssp370,historical,1862,-0.1508110352766039
mpi-esm1-2-hr,ssp370,historical,1863,-0.06410185147740322
mpi-esm1-2-hr,ssp370,historical,1864,-0.022083968953666044
mpi-esm1-2-hr,ssp370,historical,1865,-0.04691791314041893
mpi-esm1-2-hr,ssp370,historical,1866,0.04661110142870939
mpi-esm1-2-hr,ssp370,historical,1867,0.08895638230137592
mpi-esm1-2-hr,ssp370,historical,1868,0.12189305662332117
mpi-esm1-2-hr,ssp370,historical,1869,0.0519479190369907
mpi-esm1-2-hr,ssp370,historical,1870,0.04175789828292409
mpi-esm1-2-hr,ssp370,historical,1871,0.04666469426842923
mpi-esm1-2-hr,ssp370,historical,1872,-0.03694690877256335
mpi-esm1-2-hr,ssp370,historical,1873,0.021172862646210433
mpi-esm1-2-hr,ssp370,historical,1874,0.18656147292966807
mpi-esm1-2-hr,ssp370,historical,1875,0.15895929679692244
mpi-esm1-2-hr,ssp370,historical,1876,0.044453546849297254
mpi-esm1-2-hr,ssp370,historical,1877,0.047863363246790414
mpi-esm1-2-hr,ssp370,historical,1878,-0.014916948121253881
mpi-esm1-2-hr,ssp370,historical,1879,-0.0816802441977984
mpi-esm1-2-hr,ssp370,historical,1880,0.008423891863742483
mpi-esm1-2-hr,ssp370,historical,1881,0.09490807570989546
mpi-esm1-2-hr,ssp370,historical,1882,0.03130162430522887
