model,scenario,experiment_part,year,tas_anomaly_K
mri-esm2-0,ssp585,historical,1850,0.5201650415996255
mri-esm2-0,ssp585,historical,1851,0.4036212166828932
mri-esm2-0,ssp585,historical,1852,-0.023340524416880726
mri-esm2-0,ssp585,historical,1853,0.11070656806009538
mri-esm2-0,ssp585,historical,1854,0.02825706305981157
mri-esm2-0,ssp585,historical,1855,-0.003581707071873552
mri-esm2-0,ssp585,historical,1856,0.42031439532939885
mri-esm2-0,ssp585,historical,1857,0.10068881914241956
mri-esm2-0,ssp585,historical,1858,0.23670652742981702
mri-esm2-0,ssp585,historical,1859,0.3619811392481438
mri-esm2-0,ssp585,historical,1860,0.4104473691008934
mri-esm2-0,ssp585,historical,1861,-0.07004912371269256
mri-esm2-0,ssp585,historical,1862,-0.09125214064226839
mri-esm2-0,ssp585,historical,1863,0.15309057179831598
mri-esm2-0,ssp585,historical,1864,-0.051689478852324555
mri-esm2-0,ssp585,historical,1865,-0.041225334437683614
mri-esm2-0,ssp585,historical,1866,-0.6824481949178676
mri-esm2-0,ssp585,historical,1867,-0.21888848415233042
mri-esm2-0,ssp585,historical,1868,-0.16605520469755675
mri-esm2-0,ssp585,historical,1869,-0.24050696687891104
mri-esm2-0,ssp585,historical,1870,-0.0517529982712972
mri-esm2-0,ssp585,historical,1871,-0.03698943468293692
mri-esm2-0,ssp585,historical,1872,0.17504569750656174
mri-esm2-0,ssp585,historical,1873,-0.2711300777315273
mri-esm2-0,ssp585,historical,1874,-0.2431656864326328
mri-esm2-0,ssp585,historical,1875,0.15884309516695794
mri-esm2-0,ssp585,historical,1876,-0.22458654240989517
mri-esm2-0,ssp585,historical,1877,-0.07017755512811163
mri-esm2-0,ssp585,historical,1878,-0.12803128420773646
mri-esm2-0,ssp585,historical,1879,-0.24832627396335738
mri-esm2-0,ssp585,historical,1880,0.040929185183586014
mri-esm2-0,ssp585,historical,1881,0.07767758463785412
mri-esm2-0,ssp585,historical,1882,0.0008337665601629851
mri-esm2-0,ssp585,historical,1883,0.2016387804165447
mri-esm2-0,ssp585,historical,1884,-0.1580646125645444
mri-esm2-0,ssp585,historical,1885,-0.7659242268715047
mri-esm2-0,ssp585,historical,1886,-0.17652569817869335
mri-esm2-0,ssp585,historical,1887,-0.0045918691312749615
mri-esm2-0,ssp585,historical,1888,0.04697607039537388
mri-esm2-0,ssp585,historical,1889,-0.04566380004251869
mri-esm2-0,ssp585,historical,1890,-0.2838580407300242
mri-esm2-0,ssp585,historical,1891,-0.18653366731336973
mri-esm2-0,ssp585,historical,1892,-0.14946684297490265
mri-esm2-0,ssp585,historical,1893,-0.2510117025256591
mri-esm2-0,ssp585,historical,1894,0.1272697540279637
mri-esm2-0,ssp585,historical,1895,0.2429506618918822
mri-esm2-0,ssp585,historical,1896,0.32196215832505004
mri-esm2-0,ssp585,historical,1897,0.24389467673768195
mri-esm2-0,ssp585,historical,1898,0.25994811956104513
mri-esm2-0,ssp585,historical,1899,0.2387771852570495
mri-esm2-0,ssp585,historical,1900,0.00211202582227088
mri-esm2-0,ssp585,historical,1901,-0.16383376632472846
mri-esm2-0,ssp585,historical,1902,0.2553462489887579
mri-esm2-0,ssp585,historical,1903,-0.25844953877339094
mri-esm2-0,ssp585,historical,1904,-0.01859680965139887
mri-esm2-0,ssp585,historical,1905,0.24250914996997608
mri-esm2-0,ssp585,historical,1906,0.3069200063419544
mri-esm2-0,ssp585,historical,1907,0.05700845420403766
mri-esm2-0,ssp585,historical,1908,0.3524680573734713
mri-esm2-0,ssp585,historical,1909,0.46883515644299223
mri-esm2-0,ssp585,historical,1910,0.06330328953401931
mri-esm2-0,ssp585,historical,1911,0.3416948310709813
mri-esm2-0,ssp585,historical,1912,-0.06134558643543642
mri-esm2-0,ssp585,historical,1913,-0.15445444596838342
mri-esm2-0,ssp585,historical,1914,0.05855822527178134
mri-esm2-0,ssp585,historical,1915,0.17836360694082032
mri-esm2-0,ssp585,historical,1916,0.2922971905756526
mri-esm2-0,ssp585,historical,1917,-0.2718354016072908
mri-esm2-0,ssp585,historical,1918,-0.025506227063601727
mri-esm2-0,ssp585,historical,1919,-0.19985051638951745
mri-esm2-0,ssp585,historical,1920,0.014166540607902789
mri-esm2-0,ssp585,historical,1921,0.05321895550662248
mri-esm2-0,ssp585,historical,1922,0.5132690822347854
mri-esm2-0,ssp585,historical,1923,0.4219633960549345
mri-esm2-0,ssp585,historical,1924,0.015441841850361016
mri-esm2-0,ssp585,historical,1925,-0.07666838902355266
mri-esm2-0,ssp585,historical,1926,0.08771907829128622
mri-esm2-0,ssp585,historical,1927,0.05270362541591567
mri-esm2-0,ssp585,historical,1928,0.07666503237226152
mri-esm2-0,ssp585,historical,1929,0.1630452859337197
mri-esm2-0,ssp585,historical,1930,0.19871935032563215
mri-esm2-0,ssp585,historical,1931,0.2796696998302082
mri-esm2-0,ssp585,historical,1932,0.5645473895476698
mri-esm2-0,ssp585,historical,1933,0.34518348776578023
mri-esm2-0,ssp585,historical,1934,0.23940885047431948
mri-esm2-0,ssp585,historical,1935,0.0522143475827761
mri-esm2-0,ssp585,historical,1936,0.38375770225900396
mri-esm2-0,ssp585,historical,1937,0.04757726237266979
mri-esm2-0,ssp585,historical,1938,0.028214629733895435
mri-esm2-0,ssp585,historical,1939,0.2616625366340486
mri-esm2-0,ssp585,historical,1940,0.5559429041766748
mri-esm2-0,ssp585,historical,1941,0.41727905889553085
mri-esm2-0,ssp585,historical,1942,0.3478390169495924
mri-esm2-0,ssp585,historical,1943,0.1241371158507718
mri-esm2-0,ssp585,historical,1944,0.3375300968380657
mri-esm2-0,ssp585,historical,1945,0.22189406808212198
mri-esm2-0,ssp585,historical,1946,0.4333641412373481
mri-esm2-0,ssp585,historical,1947,0.5286042027701114
mri-esm2-0,ssp585,historical,1948,0.6859255161819533
mri-esm2-0,ssp585,historical,1949,0.7186849661181895
mri-esm2-0,ssp585,historical,1950,0.5364352481820447
mri-esm2-0,ssp585,historical,1951,0.2947172704358536
mri-esm2-0,ssp585,historical,1952,0.44060530662096653
mri-esm2-0,ssp585,historical,1953,0.5065235806580404
mri-esm2-0,ssp585,historical,1954,0.19055999585697236
mri-esm2-0,ssp585,historical,1955,0.466751103499746
mri-esm2-0,ssp585,historical,1956,0.6087568543289876
mri-esm2-0,ssp585,historical,1957,0.5494003542839891
mri-esm2-0,ssp585,historical,1958,0.4043750970575388
mri-esm2-0,ssp585,historical,1959,0.17113827206856058
mri-esm2-0,ssp585,historical,1960,0.31610512349215014
mri-esm2-0,ssp585,historical,1961,0.10020535327436164
